year,eps,assets,liabilities,revenue
2011,-0.17,713,489,204
2012,-0.25,1114,989,413
2013,-0.04,2417,1750,2013
2014,-0.16,5831,4919,3198
2015,-0.46,8068,6984,4046
2016,-0.31,22664,17126,7000
2017,-0.79,2855,23421,11759
2018,-0.38,29740,23983,21461
2019,-0.33,34309,26842,24578
2020,0.21,52148,29073,31536
2021,1.63,62131,31116,53823
2022,3.62,82338,36849,81462
2023,4.3,106618,43251,96773
