year,eps,assets,liabilities,revenue
2014,-0.09,4666,3918,1305
2015,0.04,4443,3076,1507
2016,0.65,4781,3308,1705
2017,2.32,5119,3294,1934
2018,1.45,7040,5058,2317
2019,1.81,7113,4774,2463
2020,1.79,7312,4676,2531
2021,7.2,12635,8629,2960
2022,1.38,11666,7397,3710
2023,-1.07,11105,7000,3831
